Day,Hour,Temp,Dir,Spd
152,7,0.37883959,90,0
152,8,0.409556314,120,0
152,9,0.457337884,260,0
152,10,0.518771331,260,0.039215686
152,11,0.576791809,250,0.039215686
152,12,0.597269625,360,0.245098039
152,13,0.662116041,360,0.098039216
152,14,0.692832765,130,0.196078431
152,15,0.648464164,140,0.18627451
152,16,0.61774744,170,0.18627451
152,17,0.552901024,120,0.205882353
152,18,0.498293515,110,0.196078431
152,19,0.4778157,120,0.166666667
152,20,0.467576792,120,0.264705882
152,21,0.457337884,120,0.176470588
152,22,0.436860068,120,0.156862745
152,23,0.433447099,120,0.068627451
152,24,0.436860068,120,0.156862745
153,1,0.43003413,110,0.147058824
153,2,0.423208191,100,0.009803922
153,3,0.409556314,110,0
153,4,0.395904437,110,0
153,5,0.409556314,10,0
153,6,0.416382253,350,0.078431373
153,7,0.406143345,40,0.019607843
153,8,0.440273038,30,0.039215686
153,9,0.494880546,20,0.205882353
153,10,0.535836177,20,0.303921569
153,11,0.576791809,20,0.323529412
153,12,0.62116041,10,0.274509804
153,13,0.645051195,20,0.215686275
153,14,0.655290102,270,0.107843137
153,15,0.645051195,270,0.107843137
153,16,0.610921502,,
153,17,0.563139932,110,0.009803922
153,18,0.498293515,110,0.196078431
153,19,0.470989761,120,0.137254902
153,20,0.450511945,120,0.009803922
153,21,0.457337884,120,0.176470588
153,22,0.457337884,110,0.215686275
153,23,0.450511945,110,0.137254902
153,24,0.440273038,110,0.12745098
154,1,0.42662116,110,0.019607843
154,2,0.42662116,10,0.137254902
154,3,0.43003413,40,0.196078431
154,4,0.42662116,40,0.137254902
154,5,0.42662116,30,0.166666667
154,6,0.443686007,10,0.147058824
154,7,0.447098976,10,0.12745098
154,8,0.450511945,50,0.117647059
154,9,0.47440273,50,0.12745098
154,10,0.532423208,30,0.176470588
154,11,0.535836177,120,0.196078431
154,12,0.587030717,110,0.18627451
154,13,0.638225256,140,0.274509804
154,14,0.593856655,140,0.215686275
154,15,0.566552901,140,0.137254902
154,16,0.549488055,120,0.058823529
154,17,0.501706485,120,0.254901961
154,18,0.481228669,120,0.333333333
154,19,0.481228669,120,0.235294118
154,20,0.481228669,120,0.215686275
154,21,0.4778157,110,0.18627451
154,22,0.4778157,110,0.196078431
154,23,0.470989761,110,0.205882353
154,24,0.460750853,110,0.254901961
155,1,0.460750853,110,0.205882353
155,2,0.460750853,110,0.294117647
155,3,0.443686007,120,0.343137255
155,4,0.443686007,100,0.264705882
155,5,0.443686007,110,0.31372549
155,6,0.443686007,100,0.225490196
155,7,0.42662116,80,0.176470588
155,8,0.436860068,90,0.166666667
155,9,0.47440273,110,0.176470588
155,10,0.549488055,120,0.264705882
155,11,0.597269625,120,0.343137255
155,12,0.56996587,130,0.31372549
155,13,0.627986348,140,0.264705882
155,14,0.631399317,130,0.294117647
155,15,0.593856655,120,0.264705882
155,16,0.549488055,130,0.303921569
155,17,0.494880546,120,0.392156863
155,18,0.457337884,120,0.382352941
155,19,0.450511945,120,0.352941176
155,20,0.447098976,110,0.333333333
155,21,0.447098976,110,0.245098039
155,22,0.443686007,120,0.294117647
155,23,0.440273038,100,0.284313725
155,24,0.436860068,100,0.225490196
156,1,0.42662116,110,0.284313725
156,2,0.416382253,120,0.303921569
156,3,0.409556314,120,0.333333333
156,4,0.406143345,120,0.480392157
156,5,0.399317406,120,0.421568627
156,6,0.399317406,120,0.37254902
156,7,0.395904437,110,0.274509804
156,8,0.416382253,110,0.333333333
156,9,0.457337884,110,0.274509804
156,10,0.508532423,110,0.37254902
156,11,0.593856655,120,0.37254902
156,12,0.590443686,120,0.431372549
156,13,0.604095563,120,0.37254902
156,14,0.583617747,120,0.352941176
156,15,0.57337884,120,0.31372549
156,16,0.52559727,130,0.343137255
156,17,0.491467577,120,0.352941176
156,18,0.457337884,120,0.31372549
156,19,0.453924915,110,0.333333333
156,20,0.457337884,120,0.401960784
156,21,0.464163823,110,0.343137255
156,22,0.464163823,110,0.333333333
156,23,0.467576792,110,0.401960784
156,24,0.470989761,110,0.382352941
157,1,0.470989761,100,0.31372549
157,2,0.47440273,100,0.343137255
157,3,0.4778157,80,0.343137255
157,4,0.47440273,100,0.264705882
157,5,0.460750853,110,0.31372549
157,6,0.450511945,110,0.294117647
157,7,0.436860068,120,0.225490196
157,8,0.464163823,110,0.18627451
157,9,0.546075085,120,0.245098039
157,10,0.627986348,120,0.215686275
157,11,0.682593857,130,0.264705882
157,12,0.662116041,120,0.352941176
157,13,0.655290102,120,0.392156863
157,14,0.672354949,120,0.401960784
157,15,0.62116041,120,0.274509804
157,16,0.655290102,120,0.274509804
